Sample	Counts
ERR589490	4229097
ERR589492	6888003
ERR589493	10016126
ERR589495	12179311
ERR589496	13486156
ERR589497	5053355
ERR589498	13875801
ERR589499	15265111
ERR589500	10865293
ERR589501	14334444
ERR589502	17582487
ERR589503	13571327
ERR589504	13107336
ERR589505	21710297
ERR589506	26149130
ERR589507	12126294
ERR589508	13736839
ERR589509	15601820
ERR589510	7402586
ERR589511	7014561
ERR589512	17471424
ERR589513	9494789
ERR589514	14598025
ERR589515	11856750
ERR589516	7896096
ERR589517	15218364
ERR589518	12014902
ERR589520	3930698
ERR589522	6175342
ERR589524	9976981
ERR589525	6042256
ERR589526	21185721
ERR589527	13583924
ERR589528	17683743
ERR589529	11444344
ERR589530	14757494
ERR589531	9167789
ERR589532	7695666
ERR589533	20768461
ERR589534	10814665
ERR589535	13923866
ERR589536	15232638
ERR589537	19495613
ERR589538	16039886
ERR589539	16479089
ERR589540	17822525
ERR589541	15100107
ERR589542	18996738
ERR589543	11792283
ERR589544	15312192
ERR589545	12098079
ERR589546	17860630
ERR589547	10224160
ERR589548	15619776
ERR589549	16817180
ERR589550	13039974
ERR589551	16606098
ERR589552	19686342
ERR589553	15900515
ERR589554	19584075
ERR589555	16336048
ERR589556	17964164
ERR589557	21265546
ERR589558	19729383
ERR589559	11541905
ERR589560	16440636
ERR589561	22283458
ERR589562	16828685
ERR589563	20547894
ERR589564	22976570
ERR589565	12515759
ERR589566	14494613
ERR589567	15672651
ERR589568	22495312
ERR589569	17166514
ERR589570	14417454
ERR589571	21561322
ERR589572	21094956
ERR589573	25521365
ERR589574	14956918
ERR589575	19391855
ERR589576	16947816
ERR589577	20058710
ERR589578	12224193
ERR589579	14811777
ERR589580	19638274
ERR589581	18443516
ERR589582	22192524
ERR589583	14502833
ERR589584	21686568
ERR589585	21000474
ERR589586	23922537
ERR589587	18676009
ERR589588	29163314
ERR589589	15366435
ERR589590	22263139
ERR589591	20456135
ERR589592	19529054
ERR589593	21060781
ERR589594	19876009
ERR589595	18772241
ERR589596	23728173
ERR589597	16312087
ERR589598	17770746
ERR589599	12828577
ERR589600	18890742
ERR589602	22629889
ERR589603	20216484
ERR589604	23155808
ERR589605	15605983
ERR589606	22043663
ERR589607	15904126
ERR589608	23371090
ERR589609	20873885
ERR589610	17343727
ERR589611	21454886
ERR589612	17047828
ERR589613	21246532
ERR589614	24012391
ERR589615	19459236
ERR589616	19137077
ERR589617	22650067
ERR589618	21986593
ERR589619	19336260
ERR589621	20649500
ERR589622	15712007
ERR589623	13278154
ERR589624	18864500
ERR589625	25973642
ERR589626	26004178
ERR589627	17334638
ERR589628	18813772
ERR589629	10975635
ERR589630	19944100
ERR589631	14477002
ERR589633	12924497
ERR589634	23035780
ERR589635	22142115
ERR589636	15440706
ERR589637	22402534
ERR589638	20439242
ERR589639	17856378
ERR589640	15765631
ERR589641	20737874
ERR589642	14887517
ERR589643	22807872
ERR589644	21059312
ERR589645	15027309
ERR589646	28934702
ERR589648	18383260
ERR589649	21523860
ERR589650	24504974
ERR589651	22315300
ERR589652	16931834
ERR589654	12974986
ERR589655	15958485
ERR589656	10154766
ERR589657	10891253
ERR589659	25696663
ERR589660	16484966
ERR589661	21241137
ERR589662	17998107
ERR589663	17946392
ERR589664	17414886
ERR589665	12613535
ERR589666	17781198
ERR589667	16506451
ERR589668	10779690
ERR589669	13398054
ERR589670	4815863
ERR589672	20738204
ERR589673	19917205
ERR589674	9099837
ERR589676	13764797
ERR589677	18232337
ERR589678	23044800
ERR589679	16198267
ERR589680	15644424
ERR589681	10484224
ERR589682	15910069
ERR589683	3520625
ERR589684	16894095
ERR589685	10921051
ERR589686	15777685
ERR589687	17167806
ERR589688	17619031
ERR589690	14296293
ERR589691	13459298
ERR589692	15465595
ERR589693	17479329
ERR589694	13304269
ERR589695	3373253
ERR589696	9722310
ERR589697	17520049
ERR589698	21554941
ERR589699	24103059
ERR589701	14445515
ERR589702	7527720
ERR589703	15191297
ERR589704	15427020
ERR589705	15128779
ERR589706	19119336
ERR589707	12945578
ERR589708	13457123
ERR589709	6763828
ERR589710	22459996
ERR589711	16971417
ERR589712	15739278
ERR589713	7287508
ERR589714	7810943
ERR589715	13673590
